ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
1;1;CAMISA PL OXFORD MANGA CORTA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5051;POLO RALPH LAUREN;1;1;;;;POLO RALPH LAUREN;;;;Disponible;;;;Nuevo
2;1;CAMISA LC RAYAS-CUADROS MANGA CORTA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5058;LACOSTE;1;1;;;;LACOSTE;;;;Disponible;;;;Nuevo
3;1;CAMISA A F OXFORD MANGA LARGA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5065;ABERCROMBIE;1;1;;;;ABERCROMBIE;;;;Disponible;;;;Nuevo
4;1;BOXER TM;BOXER;$ 17.990 ;1;$ 17.990 ;1;7123;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
5;1;BOXER VRS;BOXER;$ 17.990 ;1;$ 17.990 ;1;7124;VERSACE;1;1;;;;VERSACE;;;;Disponible;;;;Nuevo
6;1;BOXER HB;BOXER;$ 17.990 ;1;$ 17.990 ;1;7140;HUGO BOSS;1;1;;;;HUGO BOSS;;;;Disponible;;;;Nuevo
7;1;BOXER A/X;BOXER;$ 17.990 ;1;$ 17.990 ;1;7141;ARMANI EXCHANGE;1;1;;;;ARMANI EXCHANGE;;;;Disponible;;;;Nuevo
8;1;BOXER C-K;BOXER;$ 17.990 ;1;$ 17.990 ;1;7154;CALVIN KLEIN;1;1;;;;CALVIN KLEIN;;;;Disponible;;;;Nuevo
9;1;BOXER GS;BOXER;$ 18.000 ;1;$ 18.000 ;1;7189;GUESS;1;1;;;;GUESS;;;;Disponible;;;;Nuevo
10;1;GAFAS SPY+;GAFAS;$ 24.990 ;1;$ 24.990 ;1;7264;SPY;1;1;;;;SPY;;;;Disponible;;;;Nuevo
11;1;JEAN DS 11328;JEANS;$ 89.990 ;1;$ 89.990 ;1;11328;DIESEL;1;1;;;;DIESEL;;;;Disponible;;;;Nuevo
12;1;CARRIEL KLEY REF: 24;JEANS;$ 49.990 ;1;$ 49.990 ;1;7,61401E+11;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
13;1;BUSO PL CH 01 ROJO;JEANS;$ 90.000 ;1;$ 90.000 ;1;7,906E+11;POLO RALPH LAUREN;1;1;;;;POLO RALPH LAUREN;;;;Disponible;;;;Nuevo
14;1;JEAN AVALON HOMBRE REF: 1985 TALLA 36;JEANS;$ 89.990 ;1;$ 89.990 ;1;1E+12;AVALON;1;1;;;;AVALON;;;;Disponible;;;;Nuevo
15;1;JEAN EFECTO X REF: 0056 TALLA: 30;JEANS;$ 89.990 ;1;$ 89.990 ;1;1E+12;EFECTO X;1;1;;;;EFECTO X;;;;Disponible;;;;Nuevo
16;1;JEAN DS REF 03060 TALLA 32;JEANS;$ 89.990 ;1;$ 89.990 ;1;1E+12;DIESEL;1;1;;;;DIESEL;;;;Disponible;;;;Nuevo
17;1;JEAN HOMBRE KUARZO 4606 30;JEANS;$ 99.990 ;1;$ 99.990 ;1;1,00002E+12;KUARZO;1;1;;;;KUARZO;;;;Disponible;;;;Nuevo
18;1;JEAN EDEN S20 TALLA 28;JEANS;$ 99.990 ;1;$ 99.990 ;1;1,00003E+12;EDEN;1;1;;;;EDEN;;;;Disponible;;;;Nuevo
19;1;JEAN SHLOMI 1127 TALLA 34;JEANS;$ 119.990 ;1;$ 119.990 ;1;1,00003E+12;SHLOMI;1;1;;;;SHLOMI;;;;Disponible;;;;Nuevo
20;1;MALETIN CAT 17#;MALETIN;$ 154.990 ;1;$ 154.990 ;1;1,597E+12;CAT;1;1;;;;CAT;;;;Disponible;;;;Nuevo
21;1;MALETIN U-ARMOUR 003 VERDE;MALETIN;$ 72.990 ;1;$ 72.990 ;1;1,597E+12;UNDER ARMOUR;1;1;;;;UNDER ARMOUR;;;;Disponible;;;;Nuevo
22;1;PANTALON L.V.S REF: 73008 COLOR AZUL TALLA 34;PANTALONES;$ 89.990 ;1;$ 89.990 ;1;2E+12;LEVIS;1;1;;;;LEVIS;;;;Disponible;;;;Nuevo
23;1;PANTALON AYF CAMUFLADO 30;PANTALONES;$ 99.990 ;1;$ 99.990 ;1;2E+12;ABERCROMBIE;1;1;;;;ABERCROMBIE;;;;Disponible;;;;Nuevo
24;1;BERMUDA BILL 3525 ROJA TALLA 28;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3E+12;BILLABONG;1;1;;;;BILLABONG;;;;Disponible;;;;Nuevo
25;1;BERMUDA QS 3026 ROJA TALLA 28;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3E+12;QUICKSILVER;1;1;;;;QUICKSILVER;;;;Disponible;;;;Nuevo
26;1;BERMUDA BILL REF 6 1 ROJO TALLA 32;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3E+12;BILLABONG;1;1;;;;BILLABONG;;;;Disponible;;;;Nuevo
27;1;BERMUDA AVALON REF 3149 NEGRO 32;BERMUDAS;$ 74.990 ;1;$ 74.990 ;1;3,00001E+12;AVALON;1;1;;;;AVALON;;;;Disponible;;;;Nuevo
28;1;BERMUDA LOBO 1128 ROJO 30;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3,00001E+12;FOX;1;1;;;;FOX;;;;Disponible;;;;Nuevo
29;1;BERMUDA GOTCHA 2766470 NEGRO S;BERMUDAS;$ 34.990 ;1;$ 34.990 ;1;3,00001E+12;GOTCHA;1;1;;;;GOTCHA;;;;Disponible;;;;Nuevo
30;1;BERMUDA AD 26261 VERDE L;BERMUDAS;$ 29.990 ;1;$ 29.990 ;1;3,00001E+12;ADIDAS;1;1;;;;ADIDAS;;;;Disponible;;;;Nuevo
31;1;BERMUDA HURLEY 1326 AZUL OSCURA TALLA 38;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3,00001E+12;HURLEY;1;1;;;;HURLEY;;;;Disponible;;;;Nuevo
32;1;BERMUDA AYF DRIL AZUL 34;BERMUDAS;$ 69.990 ;1;$ 69.990 ;1;3,00001E+12;ABERCROMBIE;1;1;;;;ABERCROMBIE;;;;Disponible;;;;Nuevo
33;1;BERMUDA BANANA 118 ROJO 30;BERMUDAS;$ 44.990 ;1;$ 44.990 ;1;3,00001E+12;BANANA;1;1;;;;BANANA;;;;Disponible;;;;Nuevo
34;1;BERMUDA SUPERDRY S1 NARANJA S;BERMUDAS;$ 49.990 ;1;$ 49.990 ;1;3,00001E+12;SUPERDRY;1;1;;;;SUPERDRY;;;;Disponible;;;;Nuevo
35;1;BERMUDA VOLCOM V7 GRIS 34;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3,00001E+12;VOLCOM;1;1;;;;VOLCOM;;;;Disponible;;;;Nuevo
36;1;BERMUDA A-STARS 244 NEGRA 30;BERMUDAS;$ 39.990 ;1;$ 39.990 ;1;3,00002E+12;ALPINESTARS;1;1;;;;ALPINESTARS;;;;Disponible;;;;Nuevo
